回別,当選日,抽選数字
第1回,1994年10月7日,191
第2回,1994年10月14日,988
第3回,1994年10月21日,194
第4回,1994年10月28日,105
第5回,1994年11月4日,592
第6回,1994年11月11日,792
第7回,1994年11月18日,708
第8回,1994年11月25日,234
第9回,1994年12月2日,243
第10回,1994年12月9日,340
第11回,1994年12月16日,326
第12回,1994年12月23日,247
第13回,1994年12月30日,229
第14回,1995年1月6日,743
第15回,1995年1月10日,019
第16回,1995年1月13日,179
第17回,1995年1月17日,475
第18回,1995年1月20日,291
第19回,1995年1月24日,852
第20回,1995年1月27日,502
第21回,1995年1月31日,558
第22回,1995年2月3日,951
第23回,1995年2月7日,912
第24回,1995年2月10日,039
第25回,1995年2月14日,458
第26回,1995年2月17日,984
第27回,1995年2月21日,917
第28回,1995年2月24日,789
第29回,1995年2月28日,589
第30回,1995年3月3日,725
第31回,1995年3月7日,073
第32回,1995年3月10日,547
第33回,1995年3月14日,063
第34回,1995年3月17日,634
第35回,1995年3月21日,333
第36回,1995年3月24日,405
第37回,1995年3月28日,168
第38回,1995年3月31日,389
第39回,1995年4月4日,587
第40回,1995年4月7日,304
第41回,1995年4月11日,048
第42回,1995年4月14日,228
第43回,1995年4月18日,922
第44回,1995年4月21日,697
第45回,1995年4月25日,970
第46回,1995年4月28日,298
第47回,1995年5月2日,989
第48回,1995年5月5日,202
第49回,1995年5月9日,476
第50回,1995年5月12日,042
第51回,1995年5月16日,802
第52回,1995年5月19日,717
第53回,1995年5月23日,889
第54回,1995年5月26日,226
第55回,1995年5月30日,728
第56回,1995年6月2日,929
第57回,1995年6月6日,836
第58回,1995年6月9日,383
第59回,1995年6月13日,410
第60回,1995年6月16日,980
第6094回,2022年11月30日,589
第6093回,2022年11月29日,386
第6092回,2022年11月28日,754
第6091回,2022年11月25日,424
第6090回,2022年11月24日,438
第6089回,2022年11月23日,533
第6088回,2022年11月22日,348
第6087回,2022年11月21日,590
第6086回,2022年11月18日,947
第6085回,2022年11月17日,930
第6084回,2022年11月16日,824
第6083回,2022年11月15日,641
第6082回,2022年11月14日,659
第6081回,2022年11月11日,754
第6080回,2022年11月10日,394
第6079回,2022年11月9日,054
第6078回,2022年11月8日,800
第6077回,2022年11月7日,089
第6076回,2022年11月4日,763
第6075回,2022年11月3日,065
第6074回,2022年11月2日,746
第6073回,2022年11月1日,281
第6072回,2022年10月31日,986
第6071回,2022年10月28日,849
第6070回,2022年10月27日,850
第6069回,2022年10月26日,605
第6068回,2022年10月25日,046
